tissue	annotation	colours	tissue1	tissue2
Brain_Substantia_nigra	CNS	#F9E07F	brain_substantia_nigra	brain_substantia_nigra
Brain_Spinal_cord_cervical_c-1	CNS	#F9E07F	brain_spinal_cord_cervical_c-1	brain_spinal_cord_cervical_c1
Brain_Amygdala	CNS	#F9E07F	brain_amygdala	brain_amygdala
Brain_Anterior_cingulate_cortex_BA24	CNS	#F9E07F	brain_anterior_cingulate_cortex_ba24	brain_anterior_cingulate_cortex_BA24
Brain_Hippocampus	CNS	#F9E07F	brain_hippocampus	brain_hippocampus
Brain_Putamen_basal_ganglia	CNS	#F9E07F	brain_putamen_basal_ganglia	brain_putamen_basal_ganglia
Brain_Cerebellar_Hemisphere	CNS	#F9E07F	brain_cerebellar_hemisphere	brain_cerebellar_hemisphere
Brain_Hypothalamus	CNS	#F9E07F	brain_hypothalamus	brain_hypothalamus
Brain_Frontal_Cortex_BA9	CNS	#F9E07F	brain_frontal_cortex_ba9	brain_frontal_cortex_BA9
Brain_Caudate_basal_ganglia	CNS	#F9E07F	brain_caudate_basal_ganglia	brain_caudate_basal_ganglia
Brain_Nucleus_accumbens_basal_ganglia	CNS	#F9E07F	brain_nucleus_accumbens_basal_ganglia	brain_nucleus_accumbens_basal_ganglia
Brain_Cortex	CNS	#F9E07F	brain_cortex	brain_cortex
Brain_Cerebellum	CNS	#F9E07F	brain_cerebellum	brain_cerebellum
Adipose_Subcutaneous	Adipose	#FF6600	adipose_subcutaneous	adipose_subcutaneous
Adipose_Visceral_Omentum	Adipose	#FF6600	adipose_visceral_omentum	adipose_visceral_omentum
Whole_Blood	Blood/Immune	#C6A477	whole_blood	whole_blood
Spleen	Blood/Immune	#C6A477	spleen	spleen
Minor_Salivary_Gland	Blood/Immune	#C6A477	minor_salivary_gland	minor_salivary_gland
Artery_Aorta	Cardiovascular/Respiratory	#E06C78	artery_aorta	artery_aorta
Artery_Coronary	Cardiovascular/Respiratory	#E06C78	artery_coronary	artery_coronary
Artery_Tibial	Cardiovascular/Respiratory	#E06C78	artery_tibial	artery_tibial
Heart_Left_Ventricle	Cardiovascular/Respiratory	#E06C78	heart_left_ventricle	heart_left_ventricle
Heart_Atrial_Appendage	Cardiovascular/Respiratory	#E06C78	heart_atrial_appendage	heart_arterial_appendage
Lung	Cardiovascular/Respiratory	#E06C78	lung	lung
Small_Intestine_Terminal_Ileum	Digestive	#384E78	small_intestine_terminal_ileum	small_intestine_terminal_ileum
Colon_Transverse	Digestive	#384E78	colon_transverse	colon_transverse
Colon_Sigmoid	Digestive	#384E78	colon_sigmoid	colon_sigmoid
Esophagus_Gastroesophageal_Junction	Digestive	#384E78	esophagus_gastroesophageal_junction	esophagus_gastroesophageal_junction
Esophagus_Mucosa	Digestive	#384E78	esophagus_mucosa	esophagus_mucosa
Esophagus_Muscularis	Digestive	#384E78	esophagus_muscularis	esophagus_muscularis
Stomach	Digestive	#384E78	stomach	stomach
Liver	Digestive	#384E78	liver	liver
Prostate	Endocrine	#6AAB9C	prostate	prostate
Adrenal_Gland	Endocrine	#6AAB9C	adrenal_gland	adrenal_gland
Thyroid	Endocrine	#6AAB9C	thyroid	thyroid
Pituitary	Endocrine	#6AAB9C	pituitary	pituitary
Pancreas	Endocrine	#6AAB9C	pancreas	pancreas
Muscle_Skeletal	Musculoskeletal/connective	#0072B2	muscle_skeletal	muscle_skeletal
Nerve_Tibial	Musculoskeletal/connective	#0072B2	nerve_tibial	nerve_tibial
Skin_Sun_Exposed_Lower_leg	Musculoskeletal/connective	#0072B2	skin_sun_exposed_lower_leg	skin_sun_exposed_lower_leg
Skin_Not_Sun_Exposed_Suprapubic	Musculoskeletal/connective	#0072B2	skin_not_sun_exposed_suprapubic	skin_not_sun_exposed_suprapubic
Vagina	Reproductive	#FFB6C1	vagina	vagina
Uterus	Reproductive	#FFB6C1	uterus	uterus
Breast_Mammary_Tissue	Reproductive	#FFB6C1	breast_mammary_tissue	breast_mammary_tissue
Ovary	Reproductive	#FFB6C1	ovary	ovary
Testis	Reproductive	#FFB6C1	testis	testis
Cells_Cultured_fibroblasts	Celllines	#56B4E9	cells_cultured_fibroblasts	cells_cultured_fibroblasts
Cells_EBV_transformed_lymphocytes	Celllines	#56B4E9	cells_ebv_transformed_lymphocytes	cells_ebv_transformed_lymphocytes
Kidney_Cortex	Urinary	#708090	kidney_cortex	kidney_cortex
